Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-11,87.02,88.23,87.02,87.91,746265.0,0.0,1.0,87.02,88.23,87.02,87.91,746265.0
2017-04-10,87.61,88.04,87.08,87.11,661433.0,0.0,1.0,87.61,88.04,87.08,87.11,661433.0
2017-04-07,87.24,87.47,87.06,87.26,614539.0,0.0,1.0,87.24,87.47,87.06,87.26,614539.0
2017-04-06,87.98,87.98,87.0601,87.26,614515.0,0.0,1.0,87.98,87.98,87.0601,87.26,614515.0
2017-04-05,87.58,88.76,87.52,87.67,966423.0,0.0,1.0,87.58,88.76,87.52,87.67,966423.0
2017-04-04,87.57,87.97,87.08,87.3,935205.0,0.0,1.0,87.57,87.97,87.08,87.3,935205.0
2017-04-03,87.49,88.1,87.01,87.63,729994.0,0.0,1.0,87.49,88.1,87.01,87.63,729994.0
2017-03-31,86.87,87.35,86.74,87.11,621714.0,0.0,1.0,86.87,87.35,86.74,87.11,621714.0
2017-03-30,86.99,87.66,86.97,87.19,400248.0,0.0,1.0,86.99,87.66,86.97,87.19,400248.0
2017-03-29,86.64,87.2,86.26,87.18,707259.0,0.0,1.0,86.64,87.2,86.26,87.18,707259.0
2017-03-28,86.88,87.27,86.34,86.87,517469.0,0.0,1.0,86.88,87.27,86.34,86.87,517469.0
2017-03-27,86.39,87.3,86.16,86.97,440569.0,0.0,1.0,86.39,87.3,86.16,86.97,440569.0
2017-03-24,87.45,88.08,86.92,87.19,950930.0,0.0,1.0,87.45,88.08,86.92,87.19,950930.0
2017-03-23,86.79,87.45,86.79,87.39,638945.0,0.0,1.0,86.79,87.45,86.79,87.39,638945.0
2017-03-22,86.66,87.16,86.17,86.94,615678.0,0.0,1.0,86.66,87.16,86.17,86.94,615678.0
2017-03-21,86.94,87.41,86.21,86.44,1037713.0,0.0,1.0,86.94,87.41,86.21,86.44,1037713.0
2017-03-20,86.41,86.79,86.2,86.57,507220.0,0.0,1.0,86.41,86.79,86.2,86.57,507220.0
2017-03-17,87.51,87.58,86.23,86.25,1301057.0,0.0,1.0,87.51,87.58,86.23,86.25,1301057.0
2017-03-16,87.04,87.575,86.99,87.44,606126.0,0.0,1.0,87.04,87.575,86.99,87.44,606126.0
2017-03-15,86.34,87.17,85.84,86.95,740722.0,0.0,1.0,86.34,87.17,85.84,86.95,740722.0
2017-03-14,85.89,86.49,85.64,86.13,886134.0,0.0,1.0,85.89,86.49,85.64,86.13,886134.0
2017-03-13,85.62,86.47,85.62,86.34,978602.0,0.0,1.0,85.62,86.47,85.62,86.34,978602.0
2017-03-10,85.01,85.53,84.89,85.48,1181794.0,0.0,1.0,85.01,85.53,84.89,85.48,1181794.0
2017-03-09,84.95,85.495,84.65,84.85,1086345.0,0.0,1.0,84.95,85.495,84.65,84.85,1086345.0
2017-03-08,83.94,85.57,83.64,84.89,1034678.0,0.0,1.0,83.94,85.57,83.64,84.89,1034678.0
2017-03-07,83.92,84.36,83.59,83.66,664552.0,0.0,1.0,83.92,84.36,83.59,83.66,664552.0
2017-03-06,83.81,84.52,83.44,84.15,868425.0,0.0,1.0,83.81,84.52,83.44,84.15,868425.0
2017-03-03,83.6,84.13,83.37,84.04,620870.0,0.0,1.0,83.6,84.13,83.37,84.04,620870.0
2017-03-02,83.84,84.2466,82.5625,83.62,674096.0,0.0,1.0,83.84,84.2466,82.5625,83.62,674096.0
2017-03-01,83.25,84.64,82.9,84.12,1843405.0,0.0,1.0,83.25,84.64,82.9,84.12,1843405.0
2017-02-28,82.78,82.78,81.96,82.47,1572111.0,0.0,1.0,82.78,82.78,81.96,82.47,1572111.0
2017-02-27,82.95,83.18,82.38,82.54,572676.0,0.0,1.0,82.95,83.18,82.38,82.54,572676.0
2017-02-24,82.13,83.33,81.91,83.31,521635.0,0.0,1.0,82.13,83.33,81.91,83.31,521635.0
2017-02-23,82.3,82.71,81.76,82.4,588436.0,0.0,1.0,82.3,82.71,81.76,82.4,588436.0
2017-02-22,82.73,83.42,82.08,82.19,687954.0,0.0,1.0,82.73,83.42,82.08,82.19,687954.0
2017-02-21,82.16,83.53,82.16,82.98,1719491.0,0.0,1.0,82.16,83.53,82.16,82.98,1719491.0
2017-02-17,81.82,82.59,81.79,82.3,647373.0,0.0,1.0,81.82,82.59,81.79,82.3,647373.0
2017-02-16,83.09,83.68,81.58,81.92,913522.0,0.0,1.0,83.09,83.68,81.58,81.92,913522.0
2017-02-15,82.47,83.55,81.93,82.85,4053797.0,0.0,1.0,82.47,83.55,81.93,82.85,4053797.0
2017-02-14,82.76,83.99,82.48,82.68,2435720.0,0.0,1.0,82.76,83.99,82.48,82.68,2435720.0
2017-02-13,82.96,83.75,82.75,82.9,1641979.0,0.0,1.0,82.96,83.75,82.75,82.9,1641979.0
2017-02-10,83.25,85.52,81.17,83.14,1417064.0,0.0,1.0,83.25,85.52,81.17,83.14,1417064.0
2017-02-09,82.67,83.4799,82.13,82.52,1036133.0,0.0,1.0,82.67,83.4799,82.13,82.52,1036133.0
2017-02-08,81.85,83.16,81.6826,82.57,875935.0,0.0,1.0,81.85,83.16,81.6826,82.57,875935.0
2017-02-07,82.41,82.97,81.98,82.26,784410.0,0.0,1.0,82.41,82.97,81.98,82.26,784410.0
2017-02-06,81.93,82.22,81.475,82.18,532090.0,0.0,1.0,81.93,82.22,81.475,82.18,532090.0
2017-02-03,81.98,82.63,81.42,82.11,613746.0,0.0,1.0,81.98,82.63,81.42,82.11,613746.0
2017-02-02,79.83,81.83,79.21,81.7,910072.0,0.0,1.0,79.83,81.83,79.21,81.7,910072.0
2017-02-01,80.09,81.54,79.58,80.23,1120592.0,0.0,1.0,80.09,81.54,79.58,80.23,1120592.0
2017-01-31,81.14,81.23,79.6,80.21,795071.0,0.0,1.0,81.14,81.23,79.6,80.21,795071.0
2017-01-30,80.77,81.05,80.03,80.84,414862.0,0.0,1.0,80.77,81.05,80.03,80.84,414862.0
2017-01-27,81.78,81.83,81.04,81.22,377171.0,0.0,1.0,81.78,81.83,81.04,81.22,377171.0
2017-01-26,81.37,82.0,81.01,81.55,584563.0,0.0,1.0,81.37,82.0,81.01,81.55,584563.0
2017-01-25,81.14,81.55,80.56,81.31,638352.0,0.0,1.0,81.14,81.55,80.56,81.31,638352.0
2017-01-24,80.44,80.83,79.96,80.55,541861.0,0.0,1.0,80.44,80.83,79.96,80.55,541861.0
2017-01-23,80.25,80.66,79.98,80.18,459190.0,0.0,1.0,80.25,80.66,79.98,80.18,459190.0
2017-01-20,80.49,80.7,79.9,80.42,524425.0,0.0,1.0,80.49,80.7,79.9,80.42,524425.0
2017-01-19,80.77,81.14,80.08,80.38,383860.0,0.0,1.0,80.77,81.14,80.08,80.38,383860.0
2017-01-18,80.75,80.89,79.81,80.62,877914.0,0.0,1.0,80.75,80.89,79.81,80.62,877914.0
2017-01-17,80.38,80.64,79.78,80.31,385638.0,0.0,1.0,80.38,80.64,79.78,80.31,385638.0
2017-01-13,81.18,81.26,80.52,80.8,467156.0,0.0,1.0,81.18,81.26,80.52,80.8,467156.0
2017-01-12,80.77,81.17,79.94,81.0,556206.0,0.0,1.0,80.77,81.17,79.94,81.0,556206.0
2017-01-11,79.02,81.0724,78.72,80.9,1156765.0,0.0,1.0,79.02,81.0724,78.72,80.9,1156765.0
2017-01-10,81.53,81.92,79.15,79.25,1156734.0,0.0,1.0,81.53,81.92,79.15,79.25,1156734.0
2017-01-09,80.68,81.86,80.58,81.82,881699.0,0.0,1.0,80.68,81.86,80.58,81.82,881699.0
2017-01-06,79.86,81.05,79.72,80.85,751863.0,0.0,1.0,79.86,81.05,79.72,80.85,751863.0
2017-01-05,78.7,79.9,78.43,79.8,596178.0,0.0,1.0,78.7,79.9,78.43,79.8,596178.0
2017-01-04,77.4,79.32,77.4,78.96,743684.0,0.0,1.0,77.4,79.32,77.4,78.96,743684.0
2017-01-03,76.49,77.81,76.45,77.31,783947.0,0.0,1.0,76.49,77.81,76.45,77.31,783947.0
