Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-01-23,3671.87,3692.45,3627.98,3640.42,18806.0,0.0,1.0,3671.87,3692.45,3627.98,3640.42,18806.0
2018-01-22,3698.85,3700.0,3610.0,3655.0,39770.0,0.0,1.0,3698.85,3700.0,3610.0,3655.0,39770.0
2018-01-19,3628.7,3700.0,3617.07,3700.0,20786.0,0.0,1.0,3628.7,3700.0,3617.07,3700.0,20786.0
2018-01-18,3663.0,3695.0,3610.02,3610.23,23803.0,0.0,1.0,3663.0,3695.0,3610.02,3610.23,23803.0
2018-01-17,3554.49,3663.8,3550.41,3646.69,28312.0,0.0,1.0,3554.49,3663.8,3550.41,3646.69,28312.0
2018-01-16,3578.05,3644.5,3540.01,3541.0,26499.0,0.0,1.0,3578.05,3644.5,3540.01,3541.0,26499.0
2018-01-12,3547.8,3573.32,3523.2,3558.23,41145.0,0.0,1.0,3547.8,3573.32,3523.2,3558.23,41145.0
2018-01-11,3525.12,3572.0,3520.01,3550.89,33204.0,0.0,1.0,3525.12,3572.0,3520.01,3550.89,33204.0
2018-01-10,3606.92,3608.0,3496.98,3515.85,27477.0,0.0,1.0,3606.92,3608.0,3496.98,3515.85,27477.0
2018-01-09,3631.14,3650.0,3608.45,3625.0,16619.0,0.0,1.0,3631.14,3650.0,3608.45,3625.0,16619.0
2018-01-08,3575.43,3637.8,3559.71,3624.8,35920.0,0.0,1.0,3575.43,3637.8,3559.71,3624.8,35920.0
2018-01-05,3538.65,3677.1,3500.0,3567.0,19303.0,0.0,1.0,3538.65,3677.1,3500.0,3567.0,19303.0
2018-01-04,3550.0,3562.82,3499.31,3520.51,34105.0,0.0,1.0,3550.0,3562.82,3499.31,3520.51,34105.0
2018-01-03,3542.0,3599.7,3523.8,3562.83,27013.0,0.0,1.0,3542.0,3599.7,3523.8,3562.83,27013.0
2018-01-02,3410.0,3535.34,3404.0,3529.61,52921.0,0.0,1.0,3410.0,3535.34,3404.0,3529.61,52921.0
2017-12-29,3510.55,3536.97,3497.25,3508.22,18430.0,0.0,1.0,3510.55,3536.97,3497.25,3508.22,18430.0
2017-12-28,3465.71,3525.94,3465.3,3525.73,20986.0,0.0,1.0,3465.71,3525.94,3465.3,3525.73,20986.0
2017-12-27,3468.6,3492.27,3456.03,3462.0,17325.0,0.0,1.0,3468.6,3492.27,3456.03,3462.0,17325.0
2017-12-26,3480.01,3498.92,3464.0,3471.0,16680.0,0.0,1.0,3480.01,3498.92,3464.0,3471.0,16680.0
2017-12-22,3510.0,3530.93,3465.0,3480.0,18475.0,0.0,1.0,3510.0,3530.93,3465.0,3480.0,18475.0
2017-12-21,3435.0,3505.0,3417.25,3496.2,39233.0,0.0,1.0,3435.0,3505.0,3417.25,3496.2,39233.0
2017-12-20,3400.0,3435.26,3380.24,3420.0,24032.0,0.0,1.0,3400.0,3435.26,3380.24,3420.0,24032.0
2017-12-19,3397.98,3414.25,3382.1,3387.63,17086.0,0.0,1.0,3397.98,3414.25,3382.1,3387.63,17086.0
2017-12-18,3414.95,3441.87,3397.27,3400.82,25679.0,0.0,1.0,3414.95,3441.87,3397.27,3400.82,25679.0
2017-12-15,3392.41,3439.0,3376.0,3398.63,37014.0,0.0,1.0,3392.41,3439.0,3376.0,3398.63,37014.0
2017-12-14,3376.01,3406.5,3345.0,3405.54,26885.0,0.0,1.0,3376.01,3406.5,3345.0,3405.54,26885.0
2017-12-13,3381.5,3394.7,3360.45,3370.0,25192.0,0.0,1.0,3381.5,3394.7,3360.45,3370.0,25192.0
2017-12-12,3415.0,3429.16,3343.8,3368.97,43815.0,0.0,1.0,3415.0,3429.16,3343.8,3368.97,43815.0
2017-12-11,3385.5,3423.26,3385.5,3423.26,34764.0,0.0,1.0,3385.5,3423.26,3385.5,3423.26,34764.0
2017-12-08,3393.03,3403.8,3353.01,3392.68,41563.0,0.0,1.0,3393.03,3403.8,3353.01,3392.68,41563.0
2017-12-07,3363.17,3387.93,3296.49,3387.93,55011.0,0.0,1.0,3363.17,3387.93,3296.49,3387.93,55011.0
2017-12-06,3384.06,3416.98,3365.59,3373.84,27982.0,0.0,1.0,3384.06,3416.98,3365.59,3373.84,27982.0
2017-12-05,3428.05,3444.48,3367.22,3400.52,44200.0,0.0,1.0,3428.05,3444.48,3367.22,3400.52,44200.0
2017-12-04,3499.0,3508.75,3428.4,3456.42,26760.0,0.0,1.0,3499.0,3508.75,3428.4,3456.42,26760.0
2017-12-01,3479.9,3509.88,3427.12,3480.0,27757.0,0.0,1.0,3479.9,3509.88,3427.12,3480.0,27757.0
2017-11-30,3468.0,3508.38,3455.0,3475.0,41139.0,0.0,1.0,3468.0,3508.38,3455.0,3475.0,41139.0
2017-11-29,3400.1,3468.4,3393.31,3468.4,31594.0,0.0,1.0,3400.1,3468.4,3393.31,3468.4,31594.0
2017-11-28,3410.0,3435.12,3385.01,3397.01,36467.0,0.0,1.0,3410.0,3435.12,3385.01,3397.01,36467.0
2017-11-27,3407.0,3467.8,3398.27,3404.02,35404.0,0.0,1.0,3407.0,3467.8,3398.27,3404.02,35404.0
2017-11-24,3434.99,3434.99,3393.42,3401.38,12796.0,0.0,1.0,3434.99,3434.99,3393.42,3401.38,12796.0
2017-11-22,3377.0,3421.9,3350.95,3417.22,25834.0,0.0,1.0,3377.0,3421.9,3350.95,3417.22,25834.0
2017-11-21,3329.75,3415.7,3329.5,3377.0,26969.0,0.0,1.0,3329.75,3415.7,3329.5,3377.0,26969.0
2017-11-20,3276.8,3328.0,3271.19,3317.31,57505.0,0.0,1.0,3276.8,3328.0,3271.19,3317.31,57505.0
2017-11-17,3276.26,3307.54,3249.86,3258.47,36171.0,0.0,1.0,3276.26,3307.54,3249.86,3258.47,36171.0
2017-11-16,3305.66,3305.66,3262.98,3276.35,24864.0,0.0,1.0,3305.66,3305.66,3262.98,3276.35,24864.0
2017-11-15,3316.05,3328.59,3293.69,3299.8,34101.0,0.0,1.0,3316.05,3328.59,3293.69,3299.8,34101.0
2017-11-14,3275.01,3333.26,3275.01,3325.67,17297.0,0.0,1.0,3275.01,3333.26,3275.01,3325.67,17297.0
2017-11-13,3278.12,3335.04,3270.01,3300.0,21897.0,0.0,1.0,3278.12,3335.04,3270.01,3300.0,21897.0
2017-11-10,3299.0,3308.5,3239.11,3289.64,18751.0,0.0,1.0,3299.0,3308.5,3239.11,3289.64,18751.0
2017-11-09,3277.38,3362.85,3233.84,3300.0,28475.0,0.0,1.0,3277.38,3362.85,3233.84,3300.0,28475.0
2017-11-07,3260.0,3273.7,3230.83,3244.19,32783.0,0.0,1.0,3260.0,3273.7,3230.83,3244.19,32783.0
2017-11-06,3224.51,3277.93,3196.89,3263.58,24030.0,0.0,1.0,3224.51,3277.93,3196.89,3263.58,24030.0
2017-11-03,3199.99,3227.41,3170.0,3210.65,32491.0,0.0,1.0,3199.99,3227.41,3170.0,3210.65,32491.0
2017-11-02,3255.58,3282.54,3162.02,3199.93,27522.0,0.0,1.0,3255.58,3282.54,3162.02,3199.93,27522.0
2017-11-01,3300.0,3300.0,3240.0,3262.29,25747.0,0.0,1.0,3300.0,3300.0,3240.0,3262.29,25747.0
2017-10-31,3239.99,3320.18,3237.83,3281.37,34657.0,0.0,1.0,3239.99,3320.18,3237.83,3281.37,34657.0
2017-10-30,3241.37,3286.82,3211.1,3240.0,27858.0,0.0,1.0,3241.37,3286.82,3211.1,3240.0,27858.0
2017-10-27,3210.0,3245.0,3190.05,3240.0,22554.0,0.0,1.0,3210.0,3245.0,3190.05,3240.0,22554.0
2017-10-26,3160.35,3212.48,3140.0,3203.0,41310.0,0.0,1.0,3160.35,3212.48,3140.0,3203.0,41310.0
2017-10-25,3224.95,3228.0,3146.48,3165.35,29936.0,0.0,1.0,3224.95,3228.0,3146.48,3165.35,29936.0
2017-10-24,3208.24,3239.99,3186.13,3205.91,43188.0,0.0,1.0,3208.24,3239.99,3186.13,3205.91,43188.0
2017-10-23,3249.7,3255.0,3160.57,3190.04,25139.0,0.0,1.0,3249.7,3255.0,3160.57,3190.04,25139.0
2017-10-20,3149.8,3294.5,3149.8,3223.25,37344.0,0.0,1.0,3149.8,3294.5,3149.8,3223.25,37344.0
2017-10-19,2989.4,3155.0,2962.0,3127.53,37962.0,0.0,1.0,2989.4,3155.0,2962.0,3127.53,37962.0
2017-10-18,2904.05,2919.69,2885.38,2900.08,20652.0,0.0,1.0,2904.05,2919.69,2885.38,2900.08,20652.0
2017-10-17,2951.6,2970.0,2898.19,2902.98,20641.0,0.0,1.0,2951.6,2970.0,2898.19,2902.98,20641.0
2017-10-16,2944.93,2956.04,2938.18,2945.56,16788.0,0.0,1.0,2944.93,2956.04,2938.18,2945.56,16788.0
2017-10-13,2941.0,2945.9,2926.09,2939.91,18692.0,0.0,1.0,2941.0,2945.9,2926.09,2939.91,18692.0
2017-10-12,2934.0,2968.97,2912.56,2928.11,19397.0,0.0,1.0,2934.0,2968.97,2912.56,2928.11,19397.0
2017-10-11,2906.27,2936.74,2897.48,2923.15,17588.0,0.0,1.0,2906.27,2936.74,2897.48,2923.15,17588.0
2017-10-10,2899.0,2908.76,2862.0,2905.0,13842.0,0.0,1.0,2899.0,2908.76,2862.0,2905.0,13842.0
2017-10-09,2893.56,2914.48,2876.8,2889.61,26585.0,0.0,1.0,2893.56,2914.48,2876.8,2889.61,26585.0
2017-10-06,2873.55,2912.0,2850.55,2890.89,30958.0,0.0,1.0,2873.55,2912.0,2850.55,2890.89,30958.0
2017-10-05,2926.2,2933.08,2856.77,2876.65,33104.0,0.0,1.0,2926.2,2933.08,2856.77,2876.65,33104.0
2017-10-04,2899.99,2949.5,2877.0,2941.64,22536.0,0.0,1.0,2899.99,2949.5,2877.0,2941.64,22536.0
2017-10-03,2857.37,2903.9,2845.0,2894.24,32544.0,0.0,1.0,2857.37,2903.9,2845.0,2894.24,32544.0
2017-10-02,2862.0,2863.99,2828.0,2836.07,27272.0,0.0,1.0,2862.0,2863.99,2828.0,2836.07,27272.0
2017-09-29,2859.05,2891.43,2847.68,2855.0,26074.0,0.0,1.0,2859.05,2891.43,2847.68,2855.0,26074.0
2017-09-28,2846.22,2885.0,2840.0,2873.37,24795.0,0.0,1.0,2846.22,2885.0,2840.0,2873.37,24795.0
2017-09-27,2855.0,2872.5,2826.05,2843.49,25450.0,0.0,1.0,2855.0,2872.5,2826.05,2843.49,25450.0
2017-09-26,2816.0,2850.75,2816.0,2846.06,16937.0,0.0,1.0,2816.0,2850.75,2816.0,2846.06,16937.0
2017-09-25,2836.4,2844.99,2805.0,2811.5,21619.0,0.0,1.0,2836.4,2844.99,2805.0,2811.5,21619.0
2017-09-22,2810.0,2839.86,2806.79,2837.55,13019.0,0.0,1.0,2810.0,2839.86,2806.79,2837.55,13019.0
2017-09-21,2799.98,2827.98,2788.78,2808.49,19370.0,0.0,1.0,2799.98,2827.98,2788.78,2808.49,19370.0
2017-09-20,2846.8,2863.27,2783.8,2795.44,15528.0,0.0,1.0,2846.8,2863.27,2783.8,2795.44,15528.0
2017-09-19,2805.5,2846.74,2794.58,2835.95,20646.0,0.0,1.0,2805.5,2846.74,2794.58,2835.95,20646.0
2017-09-18,2790.0,2798.7,2769.1,2794.55,23216.0,0.0,1.0,2790.0,2798.7,2769.1,2794.55,23216.0
2017-09-15,2779.0,2808.5,2750.19,2750.19,29468.0,0.0,1.0,2779.0,2808.5,2750.19,2750.19,29468.0
2017-09-14,2777.01,2795.0,2726.1,2778.83,26239.0,0.0,1.0,2777.01,2795.0,2726.1,2778.83,26239.0
2017-09-13,2797.92,2806.0,2751.61,2791.58,18354.0,0.0,1.0,2797.92,2806.0,2751.61,2791.58,18354.0
2017-09-12,2824.9,2842.97,2778.41,2799.61,17886.0,0.0,1.0,2824.9,2842.97,2778.41,2799.61,17886.0
2017-09-11,2769.0,2821.07,2754.42,2818.99,33959.0,0.0,1.0,2769.0,2821.07,2754.42,2818.99,33959.0
2017-09-08,2700.6,2753.83,2700.0,2751.7,19858.0,0.0,1.0,2700.6,2753.83,2700.0,2751.7,19858.0
2017-09-07,2708.9,2718.56,2695.86,2712.7,19277.0,0.0,1.0,2708.9,2718.56,2695.86,2712.7,19277.0
2017-09-06,2712.0,2718.96,2687.53,2704.0,22222.0,0.0,1.0,2712.0,2718.96,2687.53,2704.0,22222.0
2017-09-05,2705.95,2707.18,2674.99,2704.95,11227.0,0.0,1.0,2705.95,2707.18,2674.99,2704.95,11227.0
2017-09-01,2715.2,2733.27,2702.65,2708.21,19191.0,0.0,1.0,2715.2,2733.27,2702.65,2708.21,19191.0
2017-08-31,2666.18,2720.85,2648.2,2720.85,43609.0,0.0,1.0,2666.18,2720.85,2648.2,2720.85,43609.0
2017-08-30,2640.0,2676.34,2640.0,2659.33,21410.0,0.0,1.0,2640.0,2676.34,2640.0,2659.33,21410.0
2017-08-29,2664.49,2677.77,2606.85,2645.36,42984.0,0.0,1.0,2664.49,2677.77,2606.85,2645.36,42984.0
2017-08-28,2698.0,2702.0,2664.17,2670.0,13151.0,0.0,1.0,2698.0,2702.0,2664.17,2670.0,13151.0
2017-08-25,2689.0,2711.77,2685.74,2694.11,21472.0,0.0,1.0,2689.0,2711.77,2685.74,2694.11,21472.0
2017-08-24,2695.0,2697.37,2673.3,2682.96,27715.0,0.0,1.0,2695.0,2697.37,2673.3,2682.96,27715.0
2017-08-23,2703.1,2715.46,2684.77,2691.54,11963.0,0.0,1.0,2703.1,2715.46,2684.77,2691.54,11963.0
2017-08-22,2712.85,2732.0,2698.0,2711.88,12363.0,0.0,1.0,2712.85,2732.0,2698.0,2711.88,12363.0
2017-08-21,2676.17,2709.95,2661.47,2702.89,18119.0,0.0,1.0,2676.17,2709.95,2661.47,2702.89,18119.0
2017-08-18,2737.02,2760.0,2682.0,2683.55,32498.0,0.0,1.0,2737.02,2760.0,2682.0,2683.55,32498.0
2017-08-17,2752.11,2775.52,2741.98,2749.74,18246.0,0.0,1.0,2752.11,2775.52,2741.98,2749.74,18246.0
2017-08-16,2734.0,2760.18,2722.62,2760.18,15448.0,0.0,1.0,2734.0,2760.18,2722.62,2760.18,15448.0
2017-08-15,2740.92,2758.0,2720.12,2735.5,20087.0,0.0,1.0,2740.92,2758.0,2720.12,2735.5,20087.0
2017-08-14,2712.01,2767.3,2712.01,2742.09,33064.0,0.0,1.0,2712.01,2767.3,2712.01,2742.09,33064.0
2017-08-11,2663.0,2708.7,2650.0,2705.7,12930.0,0.0,1.0,2663.0,2708.7,2650.0,2705.7,12930.0
2017-08-10,2734.84,2745.0,2663.85,2665.93,46800.0,0.0,1.0,2734.84,2745.0,2663.85,2665.93,46800.0
2017-08-09,2719.83,2748.57,2716.83,2741.03,15647.0,0.0,1.0,2719.83,2748.57,2716.83,2741.03,15647.0
2017-08-08,2696.94,2734.4,2680.34,2733.42,15259.0,0.0,1.0,2696.94,2734.4,2680.34,2733.42,15259.0
2017-08-07,2678.25,2701.34,2657.38,2695.57,19396.0,0.0,1.0,2678.25,2701.34,2657.38,2695.57,19396.0
2017-08-04,2704.7,2723.49,2674.93,2675.52,19212.0,0.0,1.0,2704.7,2723.49,2674.93,2675.52,19212.0
2017-08-03,2638.77,2705.0,2638.77,2704.7,24127.0,0.0,1.0,2638.77,2705.0,2638.77,2704.7,24127.0
2017-08-02,2644.55,2683.73,2638.0,2675.61,22745.0,0.0,1.0,2644.55,2683.73,2638.0,2675.61,22745.0
2017-08-01,2612.0,2651.59,2606.76,2646.01,34251.0,0.0,1.0,2612.0,2651.59,2606.76,2646.01,34251.0
2017-07-31,2636.0,2645.0,2584.29,2610.44,20062.0,0.0,1.0,2636.0,2645.0,2584.29,2610.44,20062.0
2017-07-28,2634.0,2642.98,2604.2,2625.0,25862.0,0.0,1.0,2634.0,2642.98,2604.2,2625.0,25862.0
2017-07-27,2680.55,2685.35,2619.0,2643.44,22112.0,0.0,1.0,2680.55,2685.35,2619.0,2643.44,22112.0
2017-07-26,2690.85,2705.16,2660.0,2678.94,28126.0,0.0,1.0,2690.85,2705.16,2660.0,2678.94,28126.0
2017-07-25,2672.25,2693.0,2665.0,2673.51,49335.0,0.0,1.0,2672.25,2693.0,2665.0,2673.51,49335.0
2017-07-24,2652.61,2679.86,2622.6,2664.69,31352.0,0.0,1.0,2652.61,2679.86,2622.6,2664.69,31352.0
2017-07-21,2530.99,2660.32,2501.85,2648.45,91244.0,0.0,1.0,2530.99,2660.32,2501.85,2648.45,91244.0
2017-07-20,2491.79,2491.79,2420.75,2447.29,33516.0,0.0,1.0,2491.79,2491.79,2420.75,2447.29,33516.0
2017-07-19,2498.0,2519.0,2475.08,2482.73,28389.0,0.0,1.0,2498.0,2519.0,2475.08,2482.73,28389.0
2017-07-18,2534.0,2534.0,2463.14,2483.21,29223.0,0.0,1.0,2534.0,2534.0,2463.14,2483.21,29223.0
2017-07-17,2529.65,2544.5,2519.2,2536.79,11415.0,0.0,1.0,2529.65,2544.5,2519.2,2536.79,11415.0
2017-07-14,2526.0,2541.46,2524.34,2530.8,13553.0,0.0,1.0,2526.0,2541.46,2524.34,2530.8,13553.0
2017-07-13,2528.9,2536.43,2516.93,2526.19,10647.0,0.0,1.0,2528.9,2536.43,2516.93,2526.19,10647.0
2017-07-12,2520.0,2533.17,2495.01,2524.8,25871.0,0.0,1.0,2520.0,2533.17,2495.01,2524.8,25871.0
2017-07-11,2521.54,2541.26,2491.0,2514.7,22657.0,0.0,1.0,2521.54,2541.26,2491.0,2514.7,22657.0
2017-07-10,2475.0,2529.2,2475.0,2526.92,22650.0,0.0,1.0,2475.0,2529.2,2475.0,2526.92,22650.0
2017-07-07,2449.02,2521.7,2449.02,2497.79,24454.0,0.0,1.0,2449.02,2521.7,2449.02,2497.79,24454.0
2017-07-06,2414.95,2454.76,2405.41,2448.88,36396.0,0.0,1.0,2414.95,2454.76,2405.41,2448.88,36396.0
2017-07-05,2397.91,2433.46,2393.82,2422.44,19159.0,0.0,1.0,2397.91,2433.46,2393.82,2422.44,19159.0
2017-07-03,2413.11,2440.61,2397.86,2410.61,11539.0,0.0,1.0,2413.11,2440.61,2397.86,2410.61,11539.0
2017-06-30,2328.4,2426.75,2315.91,2410.61,32323.0,0.0,1.0,2328.4,2426.75,2315.91,2410.61,32323.0
2017-06-29,2443.49,2443.49,2311.11,2340.0,62441.0,0.0,1.0,2443.49,2443.49,2311.11,2340.0,62441.0
2017-06-28,2438.3,2459.7,2435.14,2445.18,18310.0,0.0,1.0,2438.3,2459.7,2435.14,2445.18,18310.0
2017-06-27,2441.8,2451.91,2431.05,2434.18,23699.0,0.0,1.0,2441.8,2451.91,2431.05,2434.18,23699.0
2017-06-26,2426.6,2455.02,2426.6,2444.12,18919.0,0.0,1.0,2426.6,2455.02,2426.6,2444.12,18919.0
2017-06-23,2461.8,2467.24,2426.6,2426.6,33919.0,0.0,1.0,2461.8,2467.24,2426.6,2426.6,33919.0
2017-06-22,2494.8,2500.98,2449.83,2452.09,16034.0,0.0,1.0,2494.8,2500.98,2449.83,2452.09,16034.0
2017-06-21,2477.8,2510.76,2470.26,2488.59,21756.0,0.0,1.0,2477.8,2510.76,2470.26,2488.59,21756.0
2017-06-20,2479.0,2499.99,2462.21,2477.37,20221.0,0.0,1.0,2479.0,2499.99,2462.21,2477.37,20221.0
2017-06-19,2426.22,2467.99,2426.22,2467.82,25358.0,0.0,1.0,2426.22,2467.99,2426.22,2467.82,25358.0
2017-06-16,2434.05,2448.03,2420.03,2444.68,34898.0,0.0,1.0,2434.05,2448.03,2420.03,2444.68,34898.0
2017-06-15,2442.0,2449.99,2416.91,2440.62,24630.0,0.0,1.0,2442.0,2449.99,2416.91,2440.62,24630.0
2017-06-14,2420.51,2463.0,2419.81,2457.97,23587.0,0.0,1.0,2420.51,2463.0,2419.81,2457.97,23587.0
2017-06-13,2407.0,2434.98,2399.79,2431.28,29616.0,0.0,1.0,2407.0,2434.98,2399.79,2431.28,29616.0
2017-06-12,2375.0,2404.0,2371.41,2396.07,25200.0,0.0,1.0,2375.0,2404.0,2371.41,2396.07,25200.0
2017-06-09,2390.0,2407.46,2373.6,2376.09,27562.0,0.0,1.0,2390.0,2407.46,2373.6,2376.09,27562.0
2017-06-08,2385.0,2415.94,2361.11,2395.57,26218.0,0.0,1.0,2385.0,2415.94,2361.11,2395.57,26218.0
2017-06-07,2342.12,2379.74,2339.2,2377.67,31843.0,0.0,1.0,2342.12,2379.74,2339.2,2377.67,31843.0
2017-06-06,2344.99,2358.7,2335.01,2339.16,26761.0,0.0,1.0,2344.99,2358.7,2335.01,2339.16,26761.0
2017-06-05,2330.03,2360.57,2330.03,2349.38,24677.0,0.0,1.0,2330.03,2360.57,2330.03,2349.38,24677.0
2017-06-02,2311.99,2346.01,2298.05,2331.89,35969.0,0.0,1.0,2311.99,2346.01,2298.05,2331.89,35969.0
2017-06-01,2297.0,2317.99,2275.2,2317.99,59208.0,0.0,1.0,2297.0,2317.99,2275.2,2317.99,59208.0
2017-05-31,2270.0,2301.2,2270.0,2282.38,179746.0,0.0,1.0,2270.0,2301.2,2270.0,2282.38,179746.0
2017-05-30,2286.0,2295.98,2256.41,2284.03,49936.0,0.0,1.0,2286.0,2295.98,2256.41,2284.03,49936.0
2017-05-26,2283.34,2290.0,2253.55,2285.63,37644.0,0.0,1.0,2283.34,2290.0,2253.55,2285.63,37644.0
2017-05-25,2304.33,2325.0,2283.52,2294.94,25095.0,0.0,1.0,2304.33,2325.0,2283.52,2294.94,25095.0
2017-05-24,2291.99,2318.23,2280.99,2307.33,25641.0,0.0,1.0,2291.99,2318.23,2280.99,2307.33,25641.0
2017-05-23,2357.27,2368.66,2271.65,2296.0,48812.0,0.0,1.0,2357.27,2368.66,2271.65,2296.0,48812.0
2017-05-22,2326.01,2362.48,2313.12,2357.27,31860.0,0.0,1.0,2326.01,2362.48,2313.12,2357.27,31860.0
