Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-12,12.79,12.8799,12.5075,12.61,392150.0,0.0,1.0,12.79,12.8799,12.5075,12.61,392150.0
2017-04-11,12.77,13.06,12.69,12.85,417817.0,0.0,1.0,12.77,13.06,12.69,12.85,417817.0
2017-04-10,12.54,12.86,12.44,12.83,360331.0,0.0,1.0,12.54,12.86,12.44,12.83,360331.0
2017-04-07,12.59,12.6,12.28,12.45,538631.0,0.0,1.0,12.59,12.6,12.28,12.45,538631.0
2017-04-06,12.33,12.75,12.33,12.59,582738.0,0.0,1.0,12.33,12.75,12.33,12.59,582738.0
2017-04-05,12.63,12.91,12.15,12.24,994542.0,0.0,1.0,12.63,12.91,12.15,12.24,994542.0
2017-04-04,12.39,12.8,12.37,12.49,638993.0,0.0,1.0,12.39,12.8,12.37,12.49,638993.0
2017-04-03,12.78,12.99,12.13,12.37,1114297.0,0.0,1.0,12.78,12.99,12.13,12.37,1114297.0
2017-03-31,12.35,12.86,12.35,12.79,1085557.0,0.0,1.0,12.35,12.86,12.35,12.79,1085557.0
2017-03-30,12.25,12.48,12.2,12.43,576540.0,0.0,1.0,12.25,12.48,12.2,12.43,576540.0
2017-03-29,11.62,12.28,11.59,12.21,741410.0,0.0,1.0,11.62,12.28,11.59,12.21,741410.0
2017-03-28,11.47,11.75,11.28,11.64,530647.0,0.0,1.0,11.47,11.75,11.28,11.64,530647.0
2017-03-27,11.27,11.42,11.1,11.4,459298.0,0.0,1.0,11.27,11.42,11.1,11.4,459298.0
2017-03-24,11.28,11.7,11.26,11.5,837775.0,0.0,1.0,11.28,11.7,11.26,11.5,837775.0
2017-03-23,11.12,11.28,11.05,11.22,364291.0,0.0,1.0,11.12,11.28,11.05,11.22,364291.0
2017-03-22,11.16,11.34,11.0,11.16,709335.0,0.0,1.0,11.16,11.34,11.0,11.16,709335.0
2017-03-21,11.59,11.62,11.16,11.26,396948.0,0.0,1.0,11.59,11.62,11.16,11.26,396948.0
2017-03-20,11.54,11.64,11.38,11.53,332406.0,0.0,1.0,11.54,11.64,11.38,11.53,332406.0
2017-03-17,11.64,11.73,11.39,11.63,1038163.0,0.0,1.0,11.64,11.73,11.39,11.63,1038163.0
2017-03-16,11.86,12.09,11.26,11.54,915130.0,0.0,1.0,11.86,12.09,11.26,11.54,915130.0
2017-03-15,11.79,11.89,11.48,11.74,2266189.0,0.0,1.0,11.79,11.89,11.48,11.74,2266189.0
2017-03-14,11.81,11.82,11.2201,11.49,825166.0,0.0,1.0,11.81,11.82,11.2201,11.49,825166.0
2017-03-13,12.0,12.13,11.77,11.95,472532.0,0.0,1.0,12.0,12.13,11.77,11.95,472532.0
2017-03-10,12.14,12.210999999999999,11.76,11.99,758691.0,0.0,1.0,12.14,12.210999999999999,11.76,11.99,758691.0
2017-03-09,12.49,12.61,11.74,11.97,1214587.0,0.0,1.0,12.49,12.61,11.74,11.97,1214587.0
2017-03-08,13.15,13.32,12.59,12.59,887952.0,0.0,1.0,13.15,13.32,12.59,12.59,887952.0
2017-03-07,13.68,13.72,13.14,13.24,757327.0,0.0,1.0,13.68,13.72,13.14,13.24,757327.0
2017-03-06,13.58,13.66,13.35,13.63,442806.0,0.0,1.0,13.58,13.66,13.35,13.63,442806.0
2017-03-03,13.79,13.9232,13.51,13.62,625279.0,0.0,1.0,13.79,13.9232,13.51,13.62,625279.0
2017-03-02,14.05,14.51,13.7492,13.77,1509463.0,0.0,1.0,14.05,14.51,13.7492,13.77,1509463.0
2017-03-01,13.73,14.16,13.505,14.12,1173827.0,0.0,1.0,13.73,14.16,13.505,14.12,1173827.0
2017-02-28,13.38,13.75,13.35,13.52,1126049.0,0.0,1.0,13.38,13.75,13.35,13.52,1126049.0
2017-02-27,13.05,13.615,12.97,13.6,925968.0,0.0,1.0,13.05,13.615,12.97,13.6,925968.0
2017-02-24,12.8,13.02,12.62,12.98,643564.0,0.0,1.0,12.8,13.02,12.62,12.98,643564.0
2017-02-23,13.22,13.39,12.89,13.0,1209115.0,0.0,1.0,13.22,13.39,12.89,13.0,1209115.0
2017-02-22,12.8,13.2,12.66,13.03,1427917.0,0.0,1.0,12.8,13.2,12.66,13.03,1427917.0
2017-02-21,12.57,12.78,12.51,12.75,681151.0,0.0,1.0,12.57,12.78,12.51,12.75,681151.0
2017-02-17,12.28,12.73,11.953,12.46,966000.0,0.0,1.0,12.28,12.73,11.953,12.46,966000.0
2017-02-16,12.48,12.49,12.1,12.35,503298.0,0.0,1.0,12.48,12.49,12.1,12.35,503298.0
2017-02-15,12.66,12.7,12.29,12.5,911548.0,0.0,1.0,12.66,12.7,12.29,12.5,911548.0
2017-02-14,12.62,12.85,12.28,12.79,714880.0,0.0,1.0,12.62,12.85,12.28,12.79,714880.0
2017-02-13,12.34,12.78,12.27,12.5,1184238.0,0.0,1.0,12.34,12.78,12.27,12.5,1184238.0
2017-02-10,12.41,12.89,12.27,12.34,1610890.0,0.0,1.0,12.41,12.89,12.27,12.34,1610890.0
2017-02-09,11.38,12.41,11.16,12.22,3680985.0,0.0,1.0,11.38,12.41,11.16,12.22,3680985.0
2017-02-08,10.47,10.59,10.18,10.55,1058684.0,0.0,1.0,10.47,10.59,10.18,10.55,1058684.0
2017-02-07,10.37,10.63,10.3,10.5,650103.0,0.0,1.0,10.37,10.63,10.3,10.5,650103.0
2017-02-06,10.64,10.75,10.37,10.57,887874.0,0.0,1.0,10.64,10.75,10.37,10.57,887874.0
2017-02-03,10.25,10.71,10.25,10.61,613458.0,0.0,1.0,10.25,10.71,10.25,10.61,613458.0
2017-02-02,10.8,10.8,10.2,10.27,873760.0,0.0,1.0,10.8,10.8,10.2,10.27,873760.0
2017-02-01,10.62,10.75,10.53,10.73,831994.0,0.0,1.0,10.62,10.75,10.53,10.73,831994.0
2017-01-31,10.27,10.59,10.0,10.57,987031.0,0.0,1.0,10.27,10.59,10.0,10.57,987031.0
2017-01-30,10.32,10.365,9.93,10.23,797379.0,0.0,1.0,10.32,10.365,9.93,10.23,797379.0
2017-01-27,10.23,10.6,10.19,10.47,484459.0,0.0,1.0,10.23,10.6,10.19,10.47,484459.0
2017-01-26,10.5,10.8,10.22,10.34,677304.0,0.0,1.0,10.5,10.8,10.22,10.34,677304.0
2017-01-25,10.03,10.6,9.811,10.42,773014.0,0.0,1.0,10.03,10.6,9.811,10.42,773014.0
2017-01-24,9.71,10.08,9.6,10.04,756105.0,0.0,1.0,9.71,10.08,9.6,10.04,756105.0
2017-01-23,9.5,9.74,9.46,9.67,601413.0,0.0,1.0,9.5,9.74,9.46,9.67,601413.0
2017-01-20,9.68,9.83,9.5,9.6,1254637.0,0.0,1.0,9.68,9.83,9.5,9.6,1254637.0
2017-01-19,10.16,10.27,9.5,9.59,1040149.0,0.0,1.0,10.16,10.27,9.5,9.59,1040149.0
2017-01-18,10.18,10.28,9.94,10.13,1126277.0,0.0,1.0,10.18,10.28,9.94,10.13,1126277.0
2017-01-17,10.5,10.53,10.165,10.25,872912.0,0.0,1.0,10.5,10.53,10.165,10.25,872912.0
2017-01-13,9.57,10.33,9.55,10.31,1164961.0,0.0,1.0,9.57,10.33,9.55,10.31,1164961.0
2017-01-12,9.86,9.88,9.49,9.61,781546.0,0.0,1.0,9.86,9.88,9.49,9.61,781546.0
2017-01-11,9.61,9.93,9.5,9.72,790288.0,0.0,1.0,9.61,9.93,9.5,9.72,790288.0
2017-01-10,9.56,9.625,9.445,9.55,573121.0,0.0,1.0,9.56,9.625,9.445,9.55,573121.0
2017-01-09,9.34,9.61,9.3,9.5,731103.0,0.0,1.0,9.34,9.61,9.3,9.5,731103.0
2017-01-06,9.76,9.765,9.49,9.5,547826.0,0.0,1.0,9.76,9.765,9.49,9.5,547826.0
2017-01-05,9.78,9.96,9.57,9.73,533497.0,0.0,1.0,9.78,9.96,9.57,9.73,533497.0
2017-01-04,9.61,9.83,9.52,9.73,739126.0,0.0,1.0,9.61,9.83,9.52,9.73,739126.0
2017-01-03,9.72,10.0,9.48,9.56,959360.0,0.0,1.0,9.72,10.0,9.48,9.56,959360.0
