Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-20,12.16,12.16,11.73,11.76,13194031.0,0.0,1.0,12.16,12.16,11.73,11.76,13194031.0
2017-04-19,12.99,13.0399,11.98,12.04,11612308.0,0.0,1.0,12.99,13.0399,11.98,12.04,11612308.0
2017-04-18,12.96,13.37,12.66,12.97,8686102.0,0.0,1.0,12.96,13.37,12.66,12.97,8686102.0
2017-04-17,13.04,13.18,12.73,13.17,6473334.0,0.0,1.0,13.04,13.18,12.73,13.17,6473334.0
2017-04-13,13.37,13.41,12.84,13.06,10435368.0,0.0,1.0,13.37,13.41,12.84,13.06,10435368.0
2017-04-12,14.32,14.35,13.28,13.36,13029580.0,0.0,1.0,14.32,14.35,13.28,13.36,13029580.0
2017-04-11,14.45,14.45,14.055,14.29,6536492.0,0.0,1.0,14.45,14.45,14.055,14.29,6536492.0
2017-04-10,14.15,14.62,14.05,14.5,5257073.0,0.0,1.0,14.15,14.62,14.05,14.5,5257073.0
2017-04-07,14.21,14.23,13.86,13.98,6662873.0,0.0,1.0,14.21,14.23,13.86,13.98,6662873.0
2017-04-06,14.2,14.4575,13.98,14.17,6581573.0,0.0,1.0,14.2,14.4575,13.98,14.17,6581573.0
2017-04-05,14.79,15.265,13.91,13.97,13152437.0,0.0,1.0,14.79,15.265,13.91,13.97,13152437.0
2017-04-04,14.25,14.51,14.07,14.5,6456494.0,0.0,1.0,14.25,14.51,14.07,14.5,6456494.0
2017-04-03,14.42,14.45,13.8,14.16,6314486.0,0.0,1.0,14.42,14.45,13.8,14.16,6314486.0
2017-03-31,13.88,14.31,13.835,14.26,6935871.0,0.0,1.0,13.88,14.31,13.835,14.26,6935871.0
2017-03-30,14.0,14.205,13.73,13.89,10527010.0,0.0,1.0,14.0,14.205,13.73,13.89,10527010.0
2017-03-29,13.19,13.93,13.145,13.81,6991470.0,0.0,1.0,13.19,13.93,13.145,13.81,6991470.0
2017-03-28,12.69,13.35,12.58,13.18,7734602.0,0.0,1.0,12.69,13.35,12.58,13.18,7734602.0
2017-03-27,12.03,12.66,11.955,12.63,5983117.0,0.0,1.0,12.03,12.66,11.955,12.63,5983117.0
2017-03-24,12.31,12.63,12.235,12.37,6488816.0,0.0,1.0,12.31,12.63,12.235,12.37,6488816.0
2017-03-23,12.13,12.39,12.01,12.19,5320064.0,0.0,1.0,12.13,12.39,12.01,12.19,5320064.0
2017-03-22,12.41,12.61,12.1,12.16,8592471.0,0.0,1.0,12.41,12.61,12.1,12.16,8592471.0
2017-03-21,12.95,13.05,12.56,12.58,6176508.0,0.0,1.0,12.95,13.05,12.56,12.58,6176508.0
2017-03-20,12.66,12.97,12.44,12.92,7645886.0,0.0,1.0,12.66,12.97,12.44,12.92,7645886.0
2017-03-17,13.03,13.15,12.79,12.8,9908870.0,0.0,1.0,13.03,13.15,12.79,12.8,9908870.0
2017-03-16,13.5,13.52,12.97,12.99,7858889.0,0.0,1.0,13.5,13.52,12.97,12.99,7858889.0
2017-03-15,13.13,13.37,12.97,13.29,7764744.0,0.0,1.0,13.13,13.37,12.97,13.29,7764744.0
2017-03-14,12.89,12.97,12.18,12.86,9882888.0,0.0,1.0,12.89,12.97,12.18,12.86,9882888.0
2017-03-13,12.93,13.39,12.93,13.22,5690807.0,0.0,1.0,12.93,13.39,12.93,13.22,5690807.0
2017-03-10,13.18,13.26,12.73,12.97,6385737.0,0.0,1.0,13.18,13.26,12.73,12.97,6385737.0
2017-03-09,12.86,13.165,12.47,13.08,10323143.0,0.0,1.0,12.86,13.165,12.47,13.08,10323143.0
2017-03-08,14.08,14.22,12.88,12.96,13540076.0,0.0,1.0,14.08,14.22,12.88,12.96,13540076.0
2017-03-07,14.36,14.47,14.16,14.21,6342077.0,0.0,1.0,14.36,14.47,14.16,14.21,6342077.0
2017-03-06,14.11,14.32,13.94,14.26,5205379.0,0.0,1.0,14.11,14.32,13.94,14.26,5205379.0
2017-03-03,14.04,14.345,14.0,14.13,4472794.0,0.0,1.0,14.04,14.345,14.0,14.13,4472794.0
2017-03-02,14.61,14.82,13.98,13.98,7019979.0,0.0,1.0,14.61,14.82,13.98,13.98,7019979.0
2017-03-01,14.4,14.89,14.36,14.88,8214691.0,0.0,1.0,14.4,14.89,14.36,14.88,8214691.0
2017-02-28,14.21,14.42,14.1,14.16,8633009.0,0.0,1.0,14.21,14.42,14.1,14.16,8633009.0
2017-02-27,14.01,14.41,13.78,14.36,10565604.0,0.0,1.0,14.01,14.41,13.78,14.36,10565604.0
2017-02-24,13.94,14.18,13.77,13.89,8552487.0,0.0,1.0,13.94,14.18,13.77,13.89,8552487.0
2017-02-23,14.4,14.94,13.325,14.2,18291716.0,0.0,1.0,14.4,14.94,13.325,14.2,18291716.0
2017-02-22,14.09,14.2606,13.63,13.66,8924564.0,0.0,1.0,14.09,14.2606,13.63,13.66,8924564.0
2017-02-21,14.17,14.42,14.14,14.34,6512422.0,0.0,1.0,14.17,14.42,14.14,14.34,6512422.0
2017-02-17,13.97,14.15,13.685,13.93,5932378.0,0.0,1.0,13.97,14.15,13.685,13.93,5932378.0
2017-02-16,14.45,14.6,14.07,14.1,4537345.0,0.0,1.0,14.45,14.6,14.07,14.1,4537345.0
2017-02-15,14.4,14.6,14.32,14.41,4241548.0,0.0,1.0,14.4,14.6,14.32,14.41,4241548.0
2017-02-14,14.21,14.51,14.072000000000001,14.5,7745422.0,0.0,1.0,14.21,14.51,14.072000000000001,14.5,7745422.0
2017-02-13,14.2,14.32,14.0,14.08,4853461.0,0.0,1.0,14.2,14.32,14.0,14.08,4853461.0
2017-02-10,14.43,14.65,14.225,14.3,5637770.0,0.0,1.0,14.43,14.65,14.225,14.3,5637770.0
2017-02-09,13.93,14.24,13.915999999999999,14.14,4703690.0,0.0,1.0,13.93,14.24,13.915999999999999,14.14,4703690.0
2017-02-08,13.31,14.03,13.12,13.74,9991206.0,0.0,1.0,13.31,14.03,13.12,13.74,9991206.0
2017-02-07,13.7,13.81,13.215,13.51,9551953.0,0.0,1.0,13.7,13.81,13.215,13.51,9551953.0
2017-02-06,14.48,14.55,13.79,13.81,8182924.0,0.0,1.0,14.48,14.55,13.79,13.81,8182924.0
2017-02-03,14.3,14.645,14.05,14.57,6572890.0,0.0,1.0,14.3,14.645,14.05,14.57,6572890.0
2017-02-02,14.46,14.49,13.95,14.28,8389632.0,0.0,1.0,14.46,14.49,13.95,14.28,8389632.0
2017-02-01,14.38,14.44,13.9,14.41,8160816.0,0.0,1.0,14.38,14.44,13.9,14.41,8160816.0
2017-01-31,14.21,14.28,13.83,14.14,7277036.0,0.0,1.0,14.21,14.28,13.83,14.14,7277036.0
2017-01-30,14.69,14.74,13.94,14.04,8719599.0,0.0,1.0,14.69,14.74,13.94,14.04,8719599.0
2017-01-27,14.76,14.94,14.64,14.89,5637025.0,0.0,1.0,14.76,14.94,14.64,14.89,5637025.0
2017-01-26,14.77,15.16,14.76,14.97,8209019.0,0.0,1.0,14.77,15.16,14.76,14.97,8209019.0
2017-01-25,14.43,14.84,14.26,14.67,6044977.0,0.0,1.0,14.43,14.84,14.26,14.67,6044977.0
2017-01-24,14.39,14.69,14.24,14.49,6569476.0,0.0,1.0,14.39,14.69,14.24,14.49,6569476.0
2017-01-23,14.24,14.39,14.15,14.25,5661421.0,0.0,1.0,14.24,14.39,14.15,14.25,5661421.0
2017-01-20,14.71,14.89,14.34,14.46,6176500.0,0.0,1.0,14.71,14.89,14.34,14.46,6176500.0
2017-01-19,14.5,14.63,14.2,14.39,5465928.0,0.0,1.0,14.5,14.63,14.2,14.39,5465928.0
2017-01-18,14.52,14.76,14.35,14.46,8760601.0,0.0,1.0,14.52,14.76,14.35,14.46,8760601.0
2017-01-17,14.87,15.03,14.605,14.76,6406717.0,0.0,1.0,14.87,15.03,14.605,14.76,6406717.0
2017-01-13,15.13,15.26,14.715,14.76,7378956.0,0.0,1.0,15.13,15.26,14.715,14.76,7378956.0
2017-01-12,15.72,15.77,15.12,15.21,5745266.0,0.0,1.0,15.72,15.77,15.12,15.21,5745266.0
2017-01-11,15.29,15.49,15.0,15.42,6677953.0,0.0,1.0,15.29,15.49,15.0,15.42,6677953.0
2017-01-10,15.2,15.32,14.99,15.15,7895119.0,0.0,1.0,15.2,15.32,14.99,15.15,7895119.0
2017-01-09,15.48,15.64,15.075,15.12,8141010.0,0.0,1.0,15.48,15.64,15.075,15.12,8141010.0
2017-01-06,15.98,16.0,15.57,15.58,5546859.0,0.0,1.0,15.98,16.0,15.57,15.58,5546859.0
2017-01-05,16.37,16.415,15.685,15.89,8159871.0,0.0,1.0,16.37,16.415,15.685,15.89,8159871.0
2017-01-04,15.75,16.275,15.54,16.22,7773077.0,0.0,1.0,15.75,16.275,15.54,16.22,7773077.0
2017-01-03,15.5,15.9697,15.1942,15.73,8672796.0,0.0,1.0,15.5,15.9697,15.1942,15.73,8672796.0
