Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-07,110.32,110.74,109.77,110.08,779019.0,0.0,1.0,110.32,110.74,109.77,110.08,779019.0
2017-04-06,109.84,112.0,109.17,110.47,925304.0,0.0,1.0,109.84,112.0,109.17,110.47,925304.0
2017-04-05,108.85,110.93,108.37,109.23,972281.0,0.0,1.0,108.85,110.93,108.37,109.23,972281.0
2017-04-04,108.87,109.28,107.92,108.7,19351878.0,0.0,1.0,108.87,109.28,107.92,108.7,19351878.0
2017-04-03,108.08,109.41,107.7,108.95,1520760.0,0.0,1.0,108.08,109.41,107.7,108.95,1520760.0
2017-03-31,108.75,108.95,107.13,107.99,1095973.0,0.0,1.0,108.75,108.95,107.13,107.99,1095973.0
2017-03-30,108.22,109.04,107.67,108.75,1271793.0,0.0,1.0,108.22,109.04,107.67,108.75,1271793.0
2017-03-29,109.66,109.66,108.45,108.6,529452.0,0.0,1.0,109.66,109.66,108.45,108.6,529452.0
2017-03-28,109.14,110.04,109.0,109.61,518038.0,0.0,1.0,109.14,110.04,109.0,109.61,518038.0
2017-03-27,108.16,109.74,107.0,109.38,477524.0,0.0,1.0,108.16,109.74,107.0,109.38,477524.0
2017-03-24,109.51,109.88,108.66,109.06,356219.0,0.0,1.0,109.51,109.88,108.66,109.06,356219.0
2017-03-23,110.28,110.48,108.78,108.96,520396.0,0.0,1.0,110.28,110.48,108.78,108.96,520396.0
2017-03-22,109.07,110.51,108.2,110.44,483892.0,0.0,1.0,109.07,110.51,108.2,110.44,483892.0
2017-03-21,111.52,112.115,108.9701,109.11,568397.0,0.0,1.0,111.52,112.115,108.9701,109.11,568397.0
2017-03-20,111.24,111.75,110.43,111.33,337910.0,0.0,1.0,111.24,111.75,110.43,111.33,337910.0
2017-03-17,111.4,112.42,111.4,111.47,702980.0,0.0,1.0,111.4,112.42,111.4,111.47,702980.0
2017-03-16,111.73,112.39,110.96,111.49,569777.0,0.0,1.0,111.73,112.39,110.96,111.49,569777.0
2017-03-15,109.49,112.04,109.36,111.93,1031383.0,0.0,1.0,109.49,112.04,109.36,111.93,1031383.0
2017-03-14,108.97,109.93,108.46,109.07,588885.0,0.0,1.0,108.97,109.93,108.46,109.07,588885.0
2017-03-13,108.8,109.99,107.995,109.18,900382.0,0.0,1.0,108.8,109.99,107.995,109.18,900382.0
2017-03-10,105.0,106.12,104.86,105.95,520010.0,0.0,1.0,105.0,106.12,104.86,105.95,520010.0
2017-03-09,104.05,104.8,103.37,104.58,383810.0,0.0,1.0,104.05,104.8,103.37,104.58,383810.0
2017-03-08,103.12,104.58,102.91,104.3,385877.0,0.0,1.0,103.12,104.58,102.91,104.3,385877.0
2017-03-07,103.45,104.12,102.35,103.46,519201.0,0.0,1.0,103.45,104.12,102.35,103.46,519201.0
2017-03-06,102.71,103.4,101.86,103.11,352361.0,0.0,1.0,102.71,103.4,101.86,103.11,352361.0
2017-03-03,103.46,103.91,102.9,103.41,364239.0,0.0,1.0,103.46,103.91,102.9,103.41,364239.0
2017-03-02,103.85,104.26,103.17,104.04,456696.0,0.0,1.0,103.85,104.26,103.17,104.04,456696.0
2017-03-01,104.24,104.97,103.8,104.2,555517.0,0.0,1.0,104.24,104.97,103.8,104.2,555517.0
2017-02-28,104.5,104.71,103.15,103.21,457095.0,0.0,1.0,104.5,104.71,103.15,103.21,457095.0
2017-02-27,103.74,104.55,102.94,104.55,380417.0,0.0,1.0,103.74,104.55,102.94,104.55,380417.0
2017-02-24,101.68,103.73,101.2,103.71,328004.0,0.0,1.0,101.68,103.73,101.2,103.71,328004.0
2017-02-23,102.28,103.26,101.68,102.54,309198.0,0.0,1.0,102.28,103.26,101.68,102.54,309198.0
2017-02-22,103.08,103.65,102.1,102.46,439081.0,0.0,1.0,103.08,103.65,102.1,102.46,439081.0
2017-02-21,102.92,103.745,102.275,103.38,376348.0,0.0,1.0,102.92,103.745,102.275,103.38,376348.0
2017-02-17,102.41,103.28,102.11,103.13,796878.0,0.0,1.0,102.41,103.28,102.11,103.13,796878.0
2017-02-16,103.0,104.09,102.785,103.43,1070976.0,0.0,1.0,103.0,104.09,102.785,103.43,1070976.0
2017-02-15,100.51,102.87,100.36,102.84,652859.0,0.0,1.0,100.51,102.87,100.36,102.84,652859.0
2017-02-14,100.41,101.81,100.33,101.25,394785.0,0.0,1.0,100.41,101.81,100.33,101.25,394785.0
2017-02-13,101.46,102.0,100.7722,101.42,384254.0,0.0,1.0,101.46,102.0,100.7722,101.42,384254.0
2017-02-10,100.75,101.69,100.43,101.02,314364.0,0.0,1.0,100.75,101.69,100.43,101.02,314364.0
2017-02-09,98.95,100.79,98.08,100.27,325245.0,0.0,1.0,98.95,100.79,98.08,100.27,325245.0
2017-02-08,98.94,99.26,97.96,98.85,367921.0,0.0,1.0,98.94,99.26,97.96,98.85,367921.0
2017-02-07,99.02,99.8,98.21,98.68,493284.0,0.0,1.0,99.02,99.8,98.21,98.68,493284.0
2017-02-06,99.59,99.89,98.48,99.07,480147.0,0.0,1.0,99.59,99.89,98.48,99.07,480147.0
2017-02-03,100.26,100.64,98.64,99.6,567198.0,0.0,1.0,100.26,100.64,98.64,99.6,567198.0
2017-02-02,97.06,100.28,95.4,99.15,1661076.0,0.0,1.0,97.06,100.28,95.4,99.15,1661076.0
2017-02-01,100.14,100.47,97.83,98.81,639755.0,0.0,1.0,100.14,100.47,97.83,98.81,639755.0
2017-01-31,99.57,99.96,98.59,99.36,1220434.0,0.0,1.0,99.57,99.96,98.59,99.36,1220434.0
2017-01-30,100.46,100.51,98.495,99.82,601717.0,0.0,1.0,100.46,100.51,98.495,99.82,601717.0
2017-01-27,101.67,101.67,100.07,100.56,451865.0,0.0,1.0,101.67,101.67,100.07,100.56,451865.0
2017-01-26,100.81,101.8,100.49,101.52,522285.0,0.0,1.0,100.81,101.8,100.49,101.52,522285.0
2017-01-25,101.27,101.83,100.38,101.18,321781.0,0.0,1.0,101.27,101.83,100.38,101.18,321781.0
2017-01-24,100.44,101.35,100.44,100.95,350437.0,0.0,1.0,100.44,101.35,100.44,100.95,350437.0
2017-01-23,99.31,100.54,98.96,100.37,491317.0,0.0,1.0,99.31,100.54,98.96,100.37,491317.0
2017-01-20,99.33,100.25,99.05,99.44,353329.0,0.0,1.0,99.33,100.25,99.05,99.44,353329.0
2017-01-19,99.42,99.79,98.62,99.01,384091.0,0.0,1.0,99.42,99.79,98.62,99.01,384091.0
2017-01-18,99.83,100.6,98.98,99.68,674200.0,0.0,1.0,99.83,100.6,98.98,99.68,674200.0
2017-01-17,102.13,102.13,99.01,99.41,911264.0,0.0,1.0,102.13,102.13,99.01,99.41,911264.0
2017-01-13,100.29,102.18,100.02,101.94,986046.0,0.0,1.0,100.29,102.18,100.02,101.94,986046.0
2017-01-12,98.52,100.0,98.08,99.84,926246.0,0.0,1.0,98.52,100.0,98.08,99.84,926246.0
2017-01-11,97.08,100.14,96.83,98.96,1159359.0,0.0,1.0,97.08,100.14,96.83,98.96,1159359.0
2017-01-10,95.76,98.43,95.76,97.62,1655669.0,0.0,1.0,95.76,98.43,95.76,97.62,1655669.0
2017-01-09,97.13,97.54,94.77,95.82,1369281.0,0.0,1.0,97.13,97.54,94.77,95.82,1369281.0
2017-01-06,91.9,95.77,91.62,95.68,3067468.0,0.0,1.0,91.9,95.77,91.62,95.68,3067468.0
2017-01-05,99.0,99.87,90.37,90.56,5625526.0,0.0,1.0,99.0,99.87,90.37,90.56,5625526.0
2017-01-04,100.3,102.39,99.83,101.79,495957.0,0.0,1.0,100.3,102.39,99.83,101.79,495957.0
2017-01-03,101.36,101.45,99.24,99.86,564232.0,0.0,1.0,101.36,101.45,99.24,99.86,564232.0
