Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-05-08,48.71,48.96,48.51,48.85,8560264.0,0.0,1.0,48.71,48.96,48.51,48.85,8560264.0
2017-05-05,48.45,48.66,48.27,48.49,4707173.0,0.0,1.0,48.45,48.66,48.27,48.49,4707173.0
2017-05-04,48.63,48.68,48.16,48.45,6201642.0,0.0,1.0,48.63,48.68,48.16,48.45,6201642.0
2017-05-03,49.19,49.19,48.17,48.54,4692004.0,0.0,1.0,49.19,49.19,48.17,48.54,4692004.0
2017-05-02,48.72,49.3,48.72,49.09,5995086.0,0.0,1.0,48.72,49.3,48.72,49.09,5995086.0
2017-05-01,48.22,48.78,48.12,48.61,6165419.0,0.0,1.0,48.22,48.78,48.12,48.61,6165419.0
2017-04-28,48.45,48.5,48.16,48.21,4826957.0,0.0,1.0,48.45,48.5,48.16,48.21,4826957.0
2017-04-27,48.08,48.47,48.02,48.36,10549666.0,0.0,1.0,48.08,48.47,48.02,48.36,10549666.0
2017-04-26,48.4,48.47,48.17,48.26,4003651.0,0.0,1.0,48.4,48.47,48.17,48.26,4003651.0
2017-04-25,48.29,48.46,48.155,48.4,10155773.0,0.0,1.0,48.29,48.46,48.155,48.4,10155773.0
2017-04-24,47.89,48.2,47.75,48.15,9853785.0,0.0,1.0,47.89,48.2,47.75,48.15,9853785.0
2017-04-21,47.73,47.77,47.37,47.52,7054995.0,0.0,1.0,47.73,47.77,47.37,47.52,7054995.0
2017-04-20,47.25,47.84,47.07,47.67,10925101.0,0.0,1.0,47.25,47.84,47.07,47.67,10925101.0
2017-04-19,47.6,47.88,46.925,47.0,12179541.0,0.0,1.0,47.6,47.88,46.925,47.0,12179541.0
2017-04-18,47.25,47.745,47.14,47.56,9341939.0,0.0,1.0,47.25,47.745,47.14,47.56,9341939.0
2017-04-17,47.02,47.42,46.92,47.39,3857065.0,0.0,1.0,47.02,47.42,46.92,47.39,3857065.0
2017-04-13,46.85,47.11,46.6072,46.9,3762132.0,0.0,1.0,46.85,47.11,46.6072,46.9,3762132.0
2017-04-12,46.8,47.16,46.67,46.83,5127330.0,0.0,1.0,46.8,47.16,46.67,46.83,5127330.0
2017-04-11,47.03,47.21,46.42,46.79,5593867.0,0.0,1.0,47.03,47.21,46.42,46.79,5593867.0
2017-04-10,46.49,47.415,46.4,47.21,7818042.0,0.0,1.0,46.49,47.415,46.4,47.21,7818042.0
2017-04-07,46.23,46.53,45.96,46.44,4629614.0,0.0,1.0,46.23,46.53,45.96,46.44,4629614.0
2017-04-06,46.38,46.43,46.04,46.28,4124602.0,0.0,1.0,46.38,46.43,46.04,46.28,4124602.0
2017-04-05,46.41,46.92,46.24,46.38,4840299.0,0.0,1.0,46.41,46.92,46.24,46.38,4840299.0
2017-04-04,46.3,46.47,46.12,46.23,4758401.0,0.0,1.0,46.3,46.47,46.12,46.23,4758401.0
2017-04-03,46.5,46.85,46.16,46.43,7675378.0,0.0,1.0,46.5,46.85,46.16,46.43,7675378.0
2017-03-31,46.52,46.7,46.27,46.41,7814123.0,0.0,1.0,46.52,46.7,46.27,46.41,7814123.0
2017-03-30,46.8,47.045,46.6,46.62,3449091.0,0.0,1.0,46.8,47.045,46.6,46.62,3449091.0
2017-03-29,46.52,46.84,46.3,46.78,4403402.0,0.0,1.0,46.52,46.84,46.3,46.78,4403402.0
2017-03-28,46.33,46.76,46.24,46.57,4630801.0,0.0,1.0,46.33,46.76,46.24,46.57,4630801.0
2017-03-27,45.92,46.48,45.74,46.4,6016624.0,0.0,1.0,45.92,46.48,45.74,46.4,6016624.0
2017-03-24,46.65,46.865,46.14,46.4,5607667.0,0.0,1.0,46.65,46.865,46.14,46.4,5607667.0
2017-03-23,46.13,46.78,46.09,46.6,8297815.0,0.0,1.0,46.13,46.78,46.09,46.6,8297815.0
2017-03-22,45.61,46.14,45.6,46.06,6773395.0,0.0,1.0,45.61,46.14,45.6,46.06,6773395.0
2017-03-21,47.0,47.19,45.68,45.77,6469439.0,0.0,1.0,47.0,47.19,45.68,45.77,6469439.0
2017-03-20,46.62,47.16,46.52,46.77,5822991.0,0.0,1.0,46.62,47.16,46.52,46.77,5822991.0
2017-03-17,46.73,46.9,46.5,46.59,6192404.0,0.0,1.0,46.73,46.9,46.5,46.59,6192404.0
2017-03-16,46.6,46.62,46.3,46.61,3627081.0,0.0,1.0,46.6,46.62,46.3,46.61,3627081.0
2017-03-15,46.55,46.55,45.9,46.29,6279298.0,0.0,1.0,46.55,46.55,45.9,46.29,6279298.0
2017-03-14,46.41,46.755,46.19,46.37,3800294.0,0.0,1.0,46.41,46.755,46.19,46.37,3800294.0
2017-03-13,46.1,47.0,46.1,46.57,4702990.0,0.0,1.0,46.1,47.0,46.1,46.57,4702990.0
2017-03-10,46.2,46.2,45.75,45.98,3824529.0,0.0,1.0,46.2,46.2,45.75,45.98,3824529.0
2017-03-09,45.87,46.12,45.68,45.94,3767567.0,0.0,1.0,45.87,46.12,45.68,45.94,3767567.0
2017-03-08,45.85,46.19,45.73,45.98,3331722.0,0.0,1.0,45.85,46.19,45.73,45.98,3331722.0
2017-03-07,45.5,45.915,45.49,45.73,5116841.0,0.0,1.0,45.5,45.915,45.49,45.73,5116841.0
2017-03-06,45.61,45.69,45.39,45.64,6694863.0,0.0,1.0,45.61,45.69,45.39,45.64,6694863.0
2017-03-03,45.88,46.0,45.6,45.91,6758310.0,0.0,1.0,45.88,46.0,45.6,45.91,6758310.0
2017-03-02,46.02,46.13,45.62,45.94,7017056.0,0.0,1.0,46.02,46.13,45.62,45.94,7017056.0
2017-03-01,45.89,46.41,45.89,46.24,7258451.0,0.0,1.0,45.89,46.41,45.89,46.24,7258451.0
2017-02-28,45.57,45.75,45.25,45.66,7201973.0,0.0,1.0,45.57,45.75,45.25,45.66,7201973.0
2017-02-27,45.45,45.74,45.24,45.71,4006922.0,0.0,1.0,45.45,45.74,45.24,45.71,4006922.0
2017-02-24,45.14,45.55,44.95,45.55,3714785.0,0.0,1.0,45.14,45.55,44.95,45.55,3714785.0
2017-02-23,46.04,46.14,45.29,45.41,7812053.0,0.0,1.0,46.04,46.14,45.29,45.41,7812053.0
2017-02-22,45.47,46.345,45.45,45.98,7730221.0,0.0,1.0,45.47,46.345,45.45,45.98,7730221.0
2017-02-21,45.22,45.61,45.1,45.5,8115953.0,0.0,1.0,45.22,45.61,45.1,45.5,8115953.0
2017-02-17,44.95,45.34,44.79,45.1,9417191.0,0.0,1.0,44.95,45.34,44.79,45.1,9417191.0
2017-02-16,45.65,45.69,45.01,45.16,8972022.0,0.0,1.0,45.65,45.69,45.01,45.16,8972022.0
2017-02-15,45.03,46.72,44.64,45.65,22509206.0,0.0,1.0,45.03,46.72,44.64,45.65,22509206.0
2017-02-14,45.38,45.58,44.9,45.02,6676842.0,0.0,1.0,45.38,45.58,44.9,45.02,6676842.0
2017-02-13,45.08,45.57,44.94,45.46,7491311.0,0.0,1.0,45.08,45.57,44.94,45.46,7491311.0
2017-02-10,45.15,45.23,44.96,45.03,4158744.0,0.0,1.0,45.15,45.23,44.96,45.03,4158744.0
2017-02-09,44.95,45.24,44.82,45.08,3769280.0,0.0,1.0,44.95,45.24,44.82,45.08,3769280.0
2017-02-08,44.5,45.19,44.34,45.07,6531000.0,0.0,1.0,44.5,45.19,44.34,45.07,6531000.0
2017-02-07,44.43,44.5934,44.19,44.37,4445846.0,0.0,1.0,44.43,44.5934,44.19,44.37,4445846.0
2017-02-06,43.62,44.53,43.56,44.42,7308775.0,0.0,1.0,43.62,44.53,43.56,44.42,7308775.0
2017-02-03,43.9,43.99,43.66,43.71,6422438.0,0.0,1.0,43.9,43.99,43.66,43.71,6422438.0
2017-02-02,43.63,43.995,43.58,43.69,5065117.0,0.0,1.0,43.63,43.995,43.58,43.69,5065117.0
2017-02-01,44.25,44.26,43.71,43.78,5307216.0,0.0,1.0,44.25,44.26,43.71,43.78,5307216.0
2017-01-31,43.78,44.15,43.67,44.07,5153697.0,0.0,1.0,43.78,44.15,43.67,44.07,5153697.0
2017-01-30,44.22,44.22,43.705,43.93,6906121.0,0.0,1.0,44.22,44.22,43.705,43.93,6906121.0
2017-01-27,44.54,44.71,44.23,44.42,4943138.0,0.0,1.0,44.54,44.71,44.23,44.42,4943138.0
2017-01-26,44.83,45.08,44.4,44.55,9974613.0,0.0,1.0,44.83,45.08,44.4,44.55,9974613.0
2017-01-25,44.11,45.0,44.09,44.94,14388287.0,0.0,1.0,44.11,45.0,44.09,44.94,14388287.0
2017-01-24,43.65,44.22,43.43,43.9,24933488.0,0.0,1.0,43.65,44.22,43.43,43.9,24933488.0
2017-01-23,41.95,42.45,41.84,42.4,13662837.0,0.0,1.0,41.95,42.45,41.84,42.4,13662837.0
2017-01-20,42.33,42.535,41.865,42.05,5511713.0,0.0,1.0,42.33,42.535,41.865,42.05,5511713.0
2017-01-19,42.05,42.19,41.9,42.09,6005615.0,0.0,1.0,42.05,42.19,41.9,42.09,6005615.0
2017-01-18,42.15,42.15,41.8,42.03,3594963.0,0.0,1.0,42.15,42.15,41.8,42.03,3594963.0
2017-01-17,42.06,42.18,41.84,41.99,4779009.0,0.0,1.0,42.06,42.18,41.84,41.99,4779009.0
2017-01-13,42.11,42.46,42.02,42.27,4513026.0,0.0,1.0,42.11,42.46,42.02,42.27,4513026.0
2017-01-12,42.34,42.4604,41.7,42.11,6024900.0,0.0,1.0,42.34,42.4604,41.7,42.11,6024900.0
2017-01-11,42.27,42.59,42.07,42.59,6946237.0,0.0,1.0,42.27,42.59,42.07,42.59,6946237.0
2017-01-10,41.89,42.37,41.54,42.3,8111079.0,0.0,1.0,41.89,42.37,41.54,42.3,8111079.0
2017-01-09,41.17,41.66,41.125,41.34,7797445.0,0.0,1.0,41.17,41.66,41.125,41.34,7797445.0
2017-01-06,41.25,41.34,40.85,41.23,6087644.0,0.0,1.0,41.25,41.34,40.85,41.23,6087644.0
2017-01-05,40.31,41.37,40.24,41.34,13122100.0,0.0,1.0,40.31,41.37,40.24,41.34,13122100.0
2017-01-04,39.0,40.25,38.92,40.06,11759453.0,0.0,1.0,39.0,40.25,38.92,40.06,11759453.0
2017-01-03,39.11,39.18,38.64,38.9,6084699.0,0.0,1.0,39.11,39.18,38.64,38.9,6084699.0
