Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-10,125.4,126.39,124.7601,125.16,172127.0,0.0,1.0,125.4,126.39,124.7601,125.16,172127.0
2017-04-07,124.97,126.06,124.69,125.49,156290.0,0.0,1.0,124.97,126.06,124.69,125.49,156290.0
2017-04-06,125.5,125.9,124.095,125.54,278644.0,0.0,1.0,125.5,125.9,124.095,125.54,278644.0
2017-04-05,124.75,125.31,123.28,123.4,295192.0,0.0,1.0,124.75,125.31,123.28,123.4,295192.0
2017-04-04,125.15,126.26,123.6,124.08,315229.0,0.0,1.0,125.15,126.26,123.6,124.08,315229.0
2017-04-03,125.23,125.58,123.71,125.05,320809.0,0.0,1.0,125.23,125.58,123.71,125.05,320809.0
2017-03-31,124.75,125.915,124.45,125.2,435487.0,0.0,1.0,124.75,125.915,124.45,125.2,435487.0
2017-03-30,125.0,126.035,124.57,125.0,267802.0,0.0,1.0,125.0,126.035,124.57,125.0,267802.0
2017-03-29,124.79,125.85,124.21,124.88,278875.0,0.0,1.0,124.79,125.85,124.21,124.88,278875.0
2017-03-28,124.82,125.55,124.07,125.05,345099.0,0.0,1.0,124.82,125.55,124.07,125.05,345099.0
2017-03-27,123.7,125.665,122.93,125.26,245891.0,0.0,1.0,123.7,125.665,122.93,125.26,245891.0
2017-03-24,124.17,125.995,124.17,124.89,180464.0,0.0,1.0,124.17,125.995,124.17,124.89,180464.0
2017-03-23,123.11,125.49,122.13,123.75,331623.0,0.0,1.0,123.11,125.49,122.13,123.75,331623.0
2017-03-22,122.36,123.66,121.86,123.47,232773.0,0.0,1.0,122.36,123.66,121.86,123.47,232773.0
2017-03-21,124.18,124.83,122.21,122.27,249388.0,0.0,1.0,124.18,124.83,122.21,122.27,249388.0
2017-03-20,123.97,124.41,122.5201,123.59,172062.0,0.0,1.0,123.97,124.41,122.5201,123.59,172062.0
2017-03-17,123.17,124.68,122.7573,123.97,412350.0,0.0,1.0,123.17,124.68,122.7573,123.97,412350.0
2017-03-16,123.0,123.2,121.84,122.91,138641.0,0.0,1.0,123.0,123.2,121.84,122.91,138641.0
2017-03-15,120.77,123.385,120.43,122.97,234999.0,0.0,1.0,120.77,123.385,120.43,122.97,234999.0
2017-03-14,122.22,122.22,120.25,120.53,164237.0,0.0,1.0,122.22,122.22,120.25,120.53,164237.0
2017-03-13,120.95,121.86,120.39,121.69,250883.0,0.0,1.0,120.95,121.86,120.39,121.69,250883.0
2017-03-10,120.51,121.34,119.77,121.21,222663.0,0.0,1.0,120.51,121.34,119.77,121.21,222663.0
2017-03-09,120.23,120.83,119.8,120.17,177796.0,0.0,1.0,120.23,120.83,119.8,120.17,177796.0
2017-03-08,120.28,121.06,119.55,120.13,207563.0,0.0,1.0,120.28,121.06,119.55,120.13,207563.0
2017-03-07,119.08,120.75,118.6625,120.03,315651.0,0.0,1.0,119.08,120.75,118.6625,120.03,315651.0
2017-03-06,119.28,120.29,118.0501,119.79,258573.0,0.0,1.0,119.28,120.29,118.0501,119.79,258573.0
2017-03-03,119.93,121.72,119.41,120.73,191501.0,0.0,1.0,119.93,121.72,119.41,120.73,191501.0
2017-03-02,121.75,122.1764,119.8,120.05,319503.0,0.0,1.0,121.75,122.1764,119.8,120.05,319503.0
2017-03-01,119.16,121.83,118.02,121.29,417015.0,0.0,1.0,119.16,121.83,118.02,121.29,417015.0
2017-02-28,117.92,118.71,116.83,117.97,319617.0,0.0,1.0,117.92,118.71,116.83,117.97,319617.0
2017-02-27,117.36,118.84,116.545,117.94,716894.0,0.0,1.0,117.36,118.84,116.545,117.94,716894.0
2017-02-24,116.0,117.5,114.2836,117.14,207216.0,0.0,1.0,116.0,117.5,114.2836,117.14,207216.0
2017-02-23,117.03,117.22,114.3601,116.89,289271.0,0.0,1.0,117.03,117.22,114.3601,116.89,289271.0
2017-02-22,117.98,118.15,116.92,117.0,167751.0,0.0,1.0,117.98,118.15,116.92,117.0,167751.0
2017-02-21,117.15,118.16,116.29,117.81,430370.0,0.0,1.0,117.15,118.16,116.29,117.81,430370.0
2017-02-17,114.01,116.92,112.2,116.57,548470.0,0.0,1.0,114.01,116.92,112.2,116.57,548470.0
2017-02-16,110.98,114.4,110.61,114.25,725334.0,0.0,1.0,110.98,114.4,110.61,114.25,725334.0
2017-02-15,108.7,110.7,108.215,110.62,453680.0,0.0,1.0,108.7,110.7,108.215,110.62,453680.0
2017-02-14,107.6,109.48,107.6,108.96,362340.0,0.0,1.0,107.6,109.48,107.6,108.96,362340.0
2017-02-13,108.04,108.83,107.33,107.38,233693.0,0.0,1.0,108.04,108.83,107.33,107.38,233693.0
2017-02-10,108.36,109.0,107.65,108.64,576590.0,0.0,1.0,108.36,109.0,107.65,108.64,576590.0
2017-02-09,109.0,109.44,107.33,108.45,372849.0,0.0,1.0,109.0,109.44,107.33,108.45,372849.0
2017-02-08,109.9,110.38,108.42,108.73,271353.0,0.0,1.0,109.9,110.38,108.42,108.73,271353.0
2017-02-07,111.21,111.82,109.35,109.94,456084.0,0.0,1.0,111.21,111.82,109.35,109.94,456084.0
2017-02-06,105.11,111.22,105.11,110.5,1240536.0,0.0,1.0,105.11,111.22,105.11,110.5,1240536.0
2017-02-03,104.85,105.93,103.82,104.96,734225.0,0.0,1.0,104.85,105.93,103.82,104.96,734225.0
2017-02-02,104.55,105.08,103.53,104.1,882904.0,0.0,1.0,104.55,105.08,103.53,104.1,882904.0
2017-02-01,106.28,106.76,104.9,105.59,467465.0,0.0,1.0,106.28,106.76,104.9,105.59,467465.0
2017-01-31,106.3,107.0,105.16,106.37,454160.0,0.0,1.0,106.3,107.0,105.16,106.37,454160.0
2017-01-30,108.0,108.01,105.38,106.15,574818.0,0.0,1.0,108.0,108.01,105.38,106.15,574818.0
2017-01-27,105.75,110.46,105.75,108.85,763795.0,0.0,1.0,105.75,110.46,105.75,108.85,763795.0
2017-01-26,116.49,116.49,105.13,106.09,1243453.0,0.0,1.0,116.49,116.49,105.13,106.09,1243453.0
2017-01-25,113.43,115.68,113.2,114.82,404601.0,0.0,1.0,113.43,115.68,113.2,114.82,404601.0
2017-01-24,111.82,112.6,110.45,112.3,302975.0,0.0,1.0,111.82,112.6,110.45,112.3,302975.0
2017-01-23,111.6,112.6,110.26,111.57,367884.0,0.0,1.0,111.6,112.6,110.26,111.57,367884.0
2017-01-20,112.0,112.3,110.8306,111.84,388409.0,0.0,1.0,112.0,112.3,110.8306,111.84,388409.0
2017-01-19,113.47,113.64,111.62,112.21,387372.0,0.0,1.0,113.47,113.64,111.62,112.21,387372.0
2017-01-18,114.82,114.82,112.91,113.27,235792.0,0.0,1.0,114.82,114.82,112.91,113.27,235792.0
2017-01-17,114.69,115.488,113.92,114.02,272142.0,0.0,1.0,114.69,115.488,113.92,114.02,272142.0
2017-01-13,112.87,115.73,112.22,115.67,371449.0,0.0,1.0,112.87,115.73,112.22,115.67,371449.0
2017-01-12,110.99,112.5,110.205,112.37,278757.0,0.0,1.0,110.99,112.5,110.205,112.37,278757.0
2017-01-11,112.35,112.95,109.83,111.27,492852.0,0.0,1.0,112.35,112.95,109.83,111.27,492852.0
2017-01-10,112.48,114.71,110.0,112.24,830602.0,0.0,1.0,112.48,114.71,110.0,112.24,830602.0
2017-01-09,115.62,117.71,114.67,117.11,338873.0,0.0,1.0,115.62,117.71,114.67,117.11,338873.0
2017-01-06,115.05,115.9179,114.77,115.42,268868.0,0.0,1.0,115.05,115.9179,114.77,115.42,268868.0
2017-01-05,115.9,116.05,113.7,114.81,383035.0,0.0,1.0,115.9,116.05,113.7,114.81,383035.0
2017-01-04,113.02,115.97,112.32,115.74,336089.0,0.0,1.0,113.02,115.97,112.32,115.74,336089.0
2017-01-03,112.56,114.4082,111.48,112.36,284401.0,0.0,1.0,112.56,114.4082,111.48,112.36,284401.0
