Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-20,6.81,6.91,6.69,6.73,1994259.0,0.0,1.0,6.81,6.91,6.69,6.73,1994259.0
2017-04-19,6.83,6.995,6.76,6.78,2274763.0,0.0,1.0,6.83,6.995,6.76,6.78,2274763.0
2017-04-18,6.66,6.85,6.58,6.83,2313350.0,0.0,1.0,6.66,6.85,6.58,6.83,2313350.0
2017-04-17,6.52,6.71,6.46,6.68,1506062.0,0.0,1.0,6.52,6.71,6.46,6.68,1506062.0
2017-04-13,6.68,6.825,6.47,6.52,2188325.0,0.0,1.0,6.68,6.825,6.47,6.52,2188325.0
2017-04-12,6.65,6.79,6.54,6.73,2311706.0,0.0,1.0,6.65,6.79,6.54,6.73,2311706.0
2017-04-11,7.02,7.05,6.535,6.7,5039760.0,0.0,1.0,7.02,7.05,6.535,6.7,5039760.0
2017-04-10,6.11,7.1,6.11,7.05,5464543.0,0.0,1.0,6.11,7.1,6.11,7.05,5464543.0
2017-04-07,6.24,6.31,6.1,6.17,2799732.0,0.0,1.0,6.24,6.31,6.1,6.17,2799732.0
2017-04-06,6.1,6.3,6.04,6.22,2410472.0,0.0,1.0,6.1,6.3,6.04,6.22,2410472.0
2017-04-05,6.25,6.35,6.085,6.18,3950413.0,0.0,1.0,6.25,6.35,6.085,6.18,3950413.0
2017-04-04,6.02,6.34,5.95,6.17,3942763.0,0.0,1.0,6.02,6.34,5.95,6.17,3942763.0
2017-04-03,6.1,6.15,6.0,6.04,2160570.0,0.0,1.0,6.1,6.15,6.0,6.04,2160570.0
2017-03-31,6.06,6.27,6.06,6.1,2169251.0,0.0,1.0,6.06,6.27,6.06,6.1,2169251.0
2017-03-30,6.15,6.2,5.98,6.09,2439243.0,0.0,1.0,6.15,6.2,5.98,6.09,2439243.0
2017-03-29,6.11,6.27,6.1,6.13,2136820.0,0.0,1.0,6.11,6.27,6.1,6.13,2136820.0
2017-03-28,6.13,6.23,6.05,6.11,2593311.0,0.0,1.0,6.13,6.23,6.05,6.11,2593311.0
2017-03-27,6.05,6.15,5.9,6.14,2592229.0,0.0,1.0,6.05,6.15,5.9,6.14,2592229.0
2017-03-24,6.24,6.29,6.01,6.07,3688680.0,0.0,1.0,6.24,6.29,6.01,6.07,3688680.0
2017-03-23,6.22,6.38,6.12,6.22,3451338.0,0.0,1.0,6.22,6.38,6.12,6.22,3451338.0
2017-03-22,6.2,6.22,5.84,6.19,6034366.0,0.0,1.0,6.2,6.22,5.84,6.19,6034366.0
2017-03-21,6.54,6.69,6.19,6.19,5789522.0,0.0,1.0,6.54,6.69,6.19,6.19,5789522.0
2017-03-20,6.97,6.99,6.5,6.56,6203979.0,0.0,1.0,6.97,6.99,6.5,6.56,6203979.0
2017-03-17,7.29,7.34,6.98,6.98,3568710.0,0.0,1.0,7.29,7.34,6.98,6.98,3568710.0
2017-03-16,7.16,7.47,7.16,7.28,2802530.0,0.0,1.0,7.16,7.47,7.16,7.28,2802530.0
2017-03-15,6.89,7.19,6.85,7.11,3184601.0,0.0,1.0,6.89,7.19,6.85,7.11,3184601.0
2017-03-14,7.16,7.16,6.81,6.98,3452871.0,0.0,1.0,7.16,7.16,6.81,6.98,3452871.0
2017-03-13,7.08,7.25,6.985,7.1,2391441.0,0.0,1.0,7.08,7.25,6.985,7.1,2391441.0
2017-03-10,7.28,7.39,6.97,7.08,3463141.0,0.0,1.0,7.28,7.39,6.97,7.08,3463141.0
2017-03-09,7.5,7.57,7.09,7.23,2943667.0,0.0,1.0,7.5,7.57,7.09,7.23,2943667.0
2017-03-08,7.54,7.78,7.52,7.56,1753349.0,0.0,1.0,7.54,7.78,7.52,7.56,1753349.0
2017-03-07,7.77,7.869,7.59,7.6,2890664.0,0.0,1.0,7.77,7.869,7.59,7.6,2890664.0
2017-03-06,8.05,8.13,7.655,7.77,2164243.0,0.0,1.0,8.05,8.13,7.655,7.77,2164243.0
2017-03-03,8.48,8.4935,7.96,8.13,3489095.0,0.0,1.0,8.48,8.4935,7.96,8.13,3489095.0
2017-03-02,8.34,8.84,8.3,8.52,2493101.0,0.0,1.0,8.34,8.84,8.3,8.52,2493101.0
2017-03-01,8.86,9.17,8.17,8.4,3768315.0,0.0,1.0,8.86,9.17,8.17,8.4,3768315.0
2017-02-28,8.8,8.99,8.57,8.76,3125211.0,0.0,1.0,8.8,8.99,8.57,8.76,3125211.0
2017-02-27,8.9,9.145,8.74,8.98,2480872.0,0.0,1.0,8.9,9.145,8.74,8.98,2480872.0
2017-02-24,8.83,9.19,8.73,8.89,4476701.0,0.0,1.0,8.83,9.19,8.73,8.89,4476701.0
2017-02-23,8.49,9.19,8.37,8.99,6080108.0,0.0,1.0,8.49,9.19,8.37,8.99,6080108.0
2017-02-22,8.51,8.66,8.06,8.46,5919572.0,0.0,1.0,8.51,8.66,8.06,8.46,5919572.0
2017-02-21,8.04,8.85,7.89,8.58,9068073.0,0.0,1.0,8.04,8.85,7.89,8.58,9068073.0
2017-02-17,6.76,7.89,6.65,7.89,10199719.0,0.0,1.0,6.76,7.89,6.65,7.89,10199719.0
2017-02-16,7.04,7.267,6.53,6.76,8176238.0,0.0,1.0,7.04,7.267,6.53,6.76,8176238.0
2017-02-15,7.22,7.27,7.1,7.25,2382893.0,0.0,1.0,7.22,7.27,7.1,7.25,2382893.0
2017-02-14,7.12,7.26,7.01,7.22,1801394.0,0.0,1.0,7.12,7.26,7.01,7.22,1801394.0
2017-02-13,7.18,7.26,7.03,7.14,2097760.0,0.0,1.0,7.18,7.26,7.03,7.14,2097760.0
2017-02-10,6.99,7.19,6.89,7.16,2316285.0,0.0,1.0,6.99,7.19,6.89,7.16,2316285.0
2017-02-09,6.94,7.06,6.87,6.97,1352187.0,0.0,1.0,6.94,7.06,6.87,6.97,1352187.0
2017-02-08,7.0,7.055,6.89,6.98,1306159.0,0.0,1.0,7.0,7.055,6.89,6.98,1306159.0
2017-02-07,7.02,7.03,6.84,7.01,1928790.0,0.0,1.0,7.02,7.03,6.84,7.01,1928790.0
2017-02-06,6.96,7.02,6.84,6.99,1854623.0,0.0,1.0,6.96,7.02,6.84,6.99,1854623.0
2017-02-03,6.85,7.11,6.8,7.0,2107443.0,0.0,1.0,6.85,7.11,6.8,7.0,2107443.0
2017-02-02,6.7,6.9,6.6333,6.86,1995000.0,0.0,1.0,6.7,6.9,6.6333,6.86,1995000.0
2017-02-01,6.68,6.8,6.46,6.72,2180186.0,0.0,1.0,6.68,6.8,6.46,6.72,2180186.0
2017-01-31,6.4,6.65,6.28,6.64,2655444.0,0.0,1.0,6.4,6.65,6.28,6.64,2655444.0
2017-01-30,6.5,6.55,6.19,6.42,3236560.0,0.0,1.0,6.5,6.55,6.19,6.42,3236560.0
2017-01-27,6.85,6.92,6.5,6.57,3291129.0,0.0,1.0,6.85,6.92,6.5,6.57,3291129.0
2017-01-26,6.9,7.0,6.84,6.86,1879191.0,0.0,1.0,6.9,7.0,6.84,6.86,1879191.0
2017-01-25,6.75,6.98,6.75,6.92,2609726.0,0.0,1.0,6.75,6.98,6.75,6.92,2609726.0
2017-01-24,6.96,6.97,6.695,6.71,2310877.0,0.0,1.0,6.96,6.97,6.695,6.71,2310877.0
2017-01-23,6.97,6.9799,6.695,6.85,1951110.0,0.0,1.0,6.97,6.9799,6.695,6.85,1951110.0
2017-01-20,6.88,7.05,6.88,6.99,1688674.0,0.0,1.0,6.88,7.05,6.88,6.99,1688674.0
2017-01-19,7.01,7.2,6.81,6.87,2916749.0,0.0,1.0,7.01,7.2,6.81,6.87,2916749.0
2017-01-18,7.28,7.33,6.965,7.04,3309677.0,0.0,1.0,7.28,7.33,6.965,7.04,3309677.0
2017-01-17,7.45,7.59,7.22,7.28,2138660.0,0.0,1.0,7.45,7.59,7.22,7.28,2138660.0
2017-01-13,7.32,7.62,7.32,7.45,2152080.0,0.0,1.0,7.32,7.62,7.32,7.45,2152080.0
2017-01-12,7.52,7.6737,7.16,7.31,2875098.0,0.0,1.0,7.52,7.6737,7.16,7.31,2875098.0
2017-01-11,7.35,7.8099,7.24,7.59,5777297.0,0.0,1.0,7.35,7.8099,7.24,7.59,5777297.0
2017-01-10,7.16,7.29,7.05,7.24,1806634.0,0.0,1.0,7.16,7.29,7.05,7.24,1806634.0
2017-01-09,7.06,7.28,6.98,7.15,1895283.0,0.0,1.0,7.06,7.28,6.98,7.15,1895283.0
2017-01-06,7.1,7.23,7.04,7.05,1907539.0,0.0,1.0,7.1,7.23,7.04,7.05,1907539.0
2017-01-05,7.08,7.22,6.97,7.13,4745291.0,0.0,1.0,7.08,7.22,6.97,7.13,4745291.0
2017-01-04,6.88,7.275,6.8708,7.08,5173566.0,0.0,1.0,6.88,7.275,6.8708,7.08,5173566.0
2017-01-03,6.71,6.88,6.6,6.85,3517127.0,0.0,1.0,6.71,6.88,6.6,6.85,3517127.0
